,ID,Elem,Alpha,Niv,Param,NS,Val
212,P-11,Tub,0.1,Inf,Q,3,16.11490249633789
213,P-11,Tub,0.1,Inf,V,3,0.8834165334701538
214,P-13,Tub,0.1,Inf,Q,3,6.150086879730225
215,P-13,Tub,0.1,Inf,V,3,0.770669162273407
216,P-15,Tub,0.1,Inf,Q,3,32.8885498046875
217,P-15,Tub,0.1,Inf,V,3,0.6419640779495239
218,P-17,Tub,0.1,Inf,Q,3,7.2657341957092285
219,P-17,Tub,0.1,Inf,V,3,0.3983064293861389
220,P-20,Tub,0.1,Inf,Q,3,29.5307559967041
221,P-20,Tub,0.1,Inf,V,3,0.901718258857727
222,P-22,Tub,0.1,Inf,Q,3,16.114910125732422
223,P-22,Tub,0.1,Inf,V,3,0.8834169507026672
224,P-24,Tub,0.1,Inf,Q,3,13.415821075439453
225,P-24,Tub,0.1,Inf,V,3,0.7354533076286316
226,P-25,Tub,0.1,Inf,Q,3,8.280465126037598
227,P-25,Tub,0.1,Inf,V,3,1.0376274585723877
228,P-27,Tub,0.1,Inf,Q,3,5.890359878540039
229,P-27,Tub,0.1,Inf,V,3,0.3229086399078369
230,P-30,Tub,0.1,Inf,Q,3,5.991755962371826
231,P-30,Tub,0.1,Inf,V,3,0.32846716046333313
232,P-44,Tub,0.1,Inf,Q,3,5.470759391784668
233,P-44,Tub,0.1,Inf,V,3,0.7049894332885742
234,P-58,Tub,0.1,Inf,Q,3,7.834444999694824
235,P-58,Tub,0.1,Inf,V,3,1.0095858573913574
236,P-176,Tub,0.1,Inf,Q,3,6.150086879730225
237,P-176,Tub,0.1,Inf,V,3,0.7925310134887695
238,P-182,Tub,0.1,Inf,Q,3,6.078089714050293
239,P-182,Tub,0.1,Inf,V,3,0.7832530736923218
240,J-74,Nod,0.1,Inf,P,4,47.58706283569336
241,J-80,Nod,0.1,Inf,P,4,48.63425827026367
242,J-112,Nod,0.1,Inf,P,4,48.756797790527344
243,J-126,Nod,0.1,Inf,P,4,49.52783203125
244,J-143,Nod,0.1,Inf,P,4,47.835411071777344
245,J-145,Nod,0.1,Inf,P,4,47.96867370605469
246,J-191,Nod,0.1,Inf,P,4,49.02234649658203
247,J-236,Nod,0.1,Inf,P,4,50.258792877197266
248,J-253,Nod,0.1,Inf,P,4,12.862792015075684
249,J-266,Nod,0.1,Inf,P,4,12.294975280761719
250,J-286,Nod,0.1,Inf,P,4,14.123344421386719
251,J-292,Nod,0.1,Inf,P,4,10.016228675842285
252,J-297,Nod,0.1,Inf,P,4,13.053601264953613
253,J-299,Nod,0.1,Inf,P,4,12.782927513122559
254,J-304,Nod,0.1,Inf,P,4,11.862493515014648
255,J-332,Nod,0.1,Inf,P,4,13.56070613861084
256,J-336,Nod,0.1,Inf,P,4,47.79468536376953
257,J-357,Nod,0.1,Inf,P,4,13.349629402160645
258,J-361,Nod,0.1,Inf,P,4,12.836301803588867
259,J-371,Nod,0.1,Inf,P,4,49.06977462768555
260,P-2,Tub,0.1,Inf,Q,4,12.507485389709473
261,P-2,Tub,0.1,Inf,V,4,0.6856584548950195
262,P-4,Tub,0.1,Inf,Q,4,36.745479583740234
263,P-4,Tub,0.1,Inf,V,4,0.7172489762306213
264,P-6,Tub,0.1,Inf,Q,4,5.672348976135254
265,P-6,Tub,0.1,Inf,V,4,0.31095731258392334
266,P-7,Tub,0.1,Inf,Q,4,5.310594081878662
267,P-7,Tub,0.1,Inf,V,4,0.6654720306396484
268,P-9,Tub,0.1,Inf,Q,4,5.767016410827637
269,P-9,Tub,0.1,Inf,V,4,0.31614693999290466
270,P-10,Tub,0.1,Inf,Q,4,7.378206729888916
271,P-10,Tub,0.1,Inf,V,4,0.9245651364326477
272,P-11,Tub,0.1,Inf,Q,4,15.379363059997559
273,P-11,Tub,0.1,Inf,V,4,0.8430943489074707
274,P-13,Tub,0.1,Inf,Q,4,5.799135208129883
275,P-13,Tub,0.1,Inf,V,4,0.7266912460327148
276,P-15,Tub,0.1,Inf,Q,4,30.978466033935547
277,P-15,Tub,0.1,Inf,V,4,0.6046803593635559
278,P-17,Tub,0.1,Inf,Q,4,6.708340167999268
279,P-17,Tub,0.1,Inf,V,4,0.3677501976490021
280,P-20,Tub,0.1,Inf,Q,4,27.88684844970703
281,P-20,Tub,0.1,Inf,V,4,0.8515217304229736
282,P-22,Tub,0.1,Inf,Q,4,15.37936782836914
283,P-22,Tub,0.1,Inf,V,4,0.8430945873260498
284,P-24,Tub,0.1,Inf,Q,4,12.507475852966309
285,P-24,Tub,0.1,Inf,V,4,0.6856579184532166
286,P-25,Tub,0.1,Inf,Q,4,8.001160621643066
287,P-25,Tub,0.1,Inf,V,4,1.0026277303695679
288,P-27,Tub,0.1,Inf,Q,4,5.672322750091553
289,P-27,Tub,0.1,Inf,V,4,0.31095588207244873
290,P-30,Tub,0.1,Inf,Q,4,5.766992568969727
291,P-30,Tub,0.1,Inf,V,4,0.316145658493042
292,P-44,Tub,0.1,Inf,Q,4,5.310594081878662
293,P-44,Tub,0.1,Inf,V,4,0.6843497157096863
294,P-58,Tub,0.1,Inf,Q,4,7.378206729888916
295,P-58,Tub,0.1,Inf,V,4,0.950792670249939
296,P-176,Tub,0.1,Inf,Q,4,5.799135208129883
297,P-176,Tub,0.1,Inf,V,4,0.7473056316375732
298,P-182,Tub,0.1,Inf,Q,4,5.7429118156433105
299,P-182,Tub,0.1,Inf,V,4,0.7400603294372559
300,J-74,Nod,0.1,Inf,P,5,47.534542083740234
301,J-80,Nod,0.1,Inf,P,5,48.60441970825195
302,J-112,Nod,0.1,Inf,P,5,48.753753662109375
303,J-126,Nod,0.1,Inf,P,5,49.52470779418945
304,J-143,Nod,0.1,Inf,P,5,47.829185485839844
305,J-145,Nod,0.1,Inf,P,5,47.96165466308594
306,J-191,Nod,0.1,Inf,P,5,49.02208709716797
307,J-236,Nod,0.1,Inf,P,5,50.228904724121094
308,J-253,Nod,0.1,Inf,P,5,12.777724266052246
309,J-266,Nod,0.1,Inf,P,5,12.214101791381836
310,J-286,Nod,0.1,Inf,P,5,13.986932754516602
311,J-292,Nod,0.1,Inf,P,5,10.015984535217285
312,J-297,Nod,0.1,Inf,P,5,12.974506378173828
313,J-299,Nod,0.1,Inf,P,5,12.779332160949707
314,J-304,Nod,0.1,Inf,P,5,11.808375358581543
315,J-332,Nod,0.1,Inf,P,5,13.470157623291016
316,J-336,Nod,0.1,Inf,P,5,47.741851806640625
317,J-357,Nod,0.1,Inf,P,5,13.263487815856934
318,J-361,Nod,0.1,Inf,P,5,12.822982788085938
319,J-371,Nod,0.1,Inf,P,5,49.07164764404297
320,P-2,Tub,0.1,Inf,Q,5,13.528984069824219
321,P-2,Tub,0.1,Inf,V,5,0.7416568398475647
322,P-4,Tub,0.1,Inf,Q,5,39.94705581665039
323,P-4,Tub,0.1,Inf,V,5,0.7797417044639587
324,P-6,Tub,0.1,Inf,Q,5,5.994334697723389
325,P-6,Tub,0.1,Inf,V,5,0.32860854268074036
326,P-7,Tub,0.1,Inf,Q,5,5.754255771636963
327,P-7,Tub,0.1,Inf,V,5,0.7210673689842224
328,P-9,Tub,0.1,Inf,Q,5,6.1298394203186035
329,P-9,Tub,0.1,Inf,V,5,0.3360368609428406
330,P-10,Tub,0.1,Inf,Q,5,8.255395889282227
331,P-10,Tub,0.1,Inf,V,5,1.034485936164856
332,P-11,Tub,0.1,Inf,Q,5,16.85318946838379
333,P-11,Tub,0.1,Inf,V,5,0.9238893389701843
334,P-13,Tub,0.1,Inf,Q,5,6.178865909576416
335,P-13,Tub,0.1,Inf,V,5,0.7742754220962524
336,P-15,Tub,0.1,Inf,Q,5,33.81721878051758
337,P-15,Tub,0.1,Inf,V,5,0.6600910425186157
338,P-17,Tub,0.1,Inf,Q,5,7.350124835968018
339,P-17,Tub,0.1,Inf,V,5,0.402932733297348
340,P-20,Tub,0.1,Inf,Q,5,30.382173538208008
341,P-20,Tub,0.1,Inf,V,5,0.9277161955833435
342,P-22,Tub,0.1,Inf,Q,5,16.853191375732422
343,P-22,Tub,0.1,Inf,V,5,0.9238893985748291
